equipmentId,status,updateAt
QH1-O-P01E01,RUNNING,
QH1-O-P01E02,RUNNING,
QH1-O-P01E03,RUNNING,
QH1-O-P01E04,RUNNING,
QH1-O-P01E05,RUNNING,
QH1-O-P01E06,RUNNING,
QH1-O-P01E07,RUNNING,
QH1-O-P02E01,RUNNING,
QH1-O-P02E02,RUNNING,
QH1-O-P02E03,RUNNING,
QH1-O-P02E04,RUNNING,
QH1-O-P03E01,RUNNING,
QH1-O-P03E02,RUNNING,
QH1-O-P03E03,RUNNING,
QH1-O-P03E04,RUNNING,
QH1-O-P04E01,RUNNING,
QH1-O-P04E02,RUNNING,
QH1-O-P04E03,RUNNING,
QH1-O-P04E04,RUNNING,
QH1-O-P04E05,RUNNING,
QH1-O-P04E06,RUNNING,
QH1-O-P04E07,RUNNING,
QH1-O-P04E08,RUNNING,
QH1-O-P05E01,RUNNING,
QH1-O-P05E02,RUNNING,
QH1-O-P05E03,RUNNING,
QH1-O-P05E04,RUNNING,
QH1-O-P05E05,RUNNING,
QH1-O-P05E06,RUNNING,
QH1-O-P06E01,RUNNING,
QH1-O-P06E02,RUNNING,
QH1-O-P06E03,RUNNING,
QH1-O-P06E04,RUNNING,
QH1-O-P07E01,RUNNING,
QH1-O-P07E02,RUNNING,
QH1-O-P07E03,RUNNING,
QH1-O-P07E04,RUNNING,
QH1-O-P07E05,RUNNING,
QH1-O-P07E06,RUNNING,
QH1-O-P07E07,RUNNING,
QH1-O-P07E08,RUNNING,
QH1-O-P07E09,RUNNING,
QH1-O-P08E01,RUNNING,
QH1-O-P09E01,RUNNING,
QH1-O-P09E02,RUNNING,
QH1-O-P09E03,RUNNING,
QH1-O-P09E04,RUNNING,
QH1-O-P09E05,RUNNING,
QH1-O-P09E06,RUNNING,
QH1-O-P09E07,RUNNING,
QH1-O-P09E08,RUNNING,
QH1-O-P09E09,RUNNING,
QH1-O-P10E01,RUNNING,
QH1-O-P10E02,RUNNING,
QH1-O-P10E03,RUNNING,
QH1-O-P10E04,RUNNING,
QH1-O-P10E05,RUNNING,
QH1-O-P10E06,RUNNING,
QH1-O-P11E01,RUNNING,
QH1-O-P11E02,RUNNING,
QH1-O-P11E03,RUNNING,
QH1-O-P12E01,RUNNING,
QH1-O-P12E02,RUNNING,
QH1-O-P12E03,RUNNING,
QH1-O-P12E04,RUNNING,
QH1-O-P12E05,RUNNING,
QH1-O-P12E06,RUNNING,
QH1-O-P12E07,RUNNING,
QH1-O-P12E08,RUNNING,
QH1-O-P12E09,RUNNING,
QH1-O-P12E10,RUNNING,
QH1-O-P12E11,RUNNING,
QH1-O-P12E12,RUNNING,
QH1-O-P13E01,RUNNING,
QH1-O-P13E02,RUNNING,
QH1-O-P13E03,RUNNING,
QH1-O-P13E04,RUNNING,
QH1-O-P13E05,RUNNING,
QH1-O-P14E01,RUNNING,
QH1-O-P14E02,RUNNING,
QH1-O-P14E03,RUNNING,
QH1-O-P14E04,RUNNING,
QH1-O-P14E05,RUNNING,
QH1-O-P14E06,RUNNING,
QH1-O-P14E07,RUNNING,
QH1-O-P14E08,RUNNING,
QH1-O-P15E01,RUNNING,
QH1-O-P15E02,RUNNING,
QH1-O-P16E01,RUNNING,
QH1-O-P16E02,RUNNING,
QH1-O-P16E03,RUNNING,
QH1-O-P16E04,RUNNING,
QH1-O-P16E05,RUNNING,
QH2-O-P01E01,RUNNING,
QH2-O-P01E02,RUNNING,
QH2-O-P02E01,RUNNING,
QH2-O-P02E02,RUNNING,
QH2-O-P02E03,RUNNING,
QH2-O-P02E04,RUNNING,
QH2-O-P02E05,RUNNING,
QH2-O-P02E06,RUNNING,
QH2-O-P02E07,RUNNING,
QH2-O-P03E01,RUNNING,
QH2-O-P03E02,RUNNING,
QH2-O-P03E03,RUNNING,
QH2-O-P03E04,RUNNING,
QH2-O-P03E05,RUNNING,
QH2-O-P03E06,RUNNING,
QH2-O-P03E07,RUNNING,
QH2-O-P04E01,RUNNING,
QH2-O-P04E02,RUNNING,
QH2-O-P04E03,RUNNING,
QH2-O-P04E04,RUNNING,
QH2-O-P04E05,RUNNING,
QH2-O-P04E06,RUNNING,
QH2-O-P04E07,RUNNING,
QH2-O-P04E08,RUNNING,
QH2-O-P04E09,RUNNING,
QH2-O-P04E10,RUNNING,
QH2-O-P04E11,RUNNING,
QH2-O-P04E12,RUNNING,
QH2-O-P05E01,RUNNING,
QH2-O-P05E02,RUNNING,
QH2-O-P05E03,RUNNING,
QH2-O-P05E04,RUNNING,
QH2-O-P06E01,RUNNING,
QH2-O-P06E02,RUNNING,
QH2-O-P06E03,RUNNING,
QH2-O-P06E04,RUNNING,
QH2-O-P06E05,RUNNING,
QH2-O-P06E06,RUNNING,
QH2-O-P06E07,RUNNING,
QH2-O-P06E08,RUNNING,
QH2-O-P06E09,RUNNING,
QH2-O-P06E10,RUNNING,
QH2-O-P06E11,RUNNING,
QH2-O-P06E12,RUNNING,
QH2-O-P06E13,RUNNING,
QH2-O-P07E01,RUNNING,
QH2-O-P07E02,RUNNING,
QH2-O-P07E03,RUNNING,
QH2-O-P07E04,RUNNING,
QH2-O-P07E05,RUNNING,
QH2-O-P08E01,RUNNING,
QH2-O-P08E02,RUNNING,
QH2-O-P08E03,RUNNING,
QH2-O-P08E04,RUNNING,
QH2-O-P08E05,RUNNING,
QH2-O-P08E06,RUNNING,
QH2-O-P08E07,RUNNING,
QH2-O-P09E01,RUNNING,
QH2-O-P09E02,RUNNING,
QH2-O-P09E03,RUNNING,
QH2-O-P09E04,RUNNING,
QH2-O-P09E05,RUNNING,
QH2-O-P09E06,RUNNING,
QH2-O-P10E01,RUNNING,
QH2-O-P10E02,RUNNING,
QH2-O-P10E03,RUNNING,
QH2-O-P10E04,RUNNING,
QH2-O-P10E05,RUNNING,
QH2-O-P10E06,RUNNING,
QH2-O-P10E07,RUNNING,
QH2-O-P10E08,RUNNING,
QH2-O-P10E09,RUNNING,
QH2-O-P11E01,RUNNING,
QH2-O-P11E02,RUNNING,
QH2-O-P11E03,RUNNING,
QH2-O-P11E04,RUNNING,
QH2-O-P11E05,RUNNING,
QH2-O-P11E06,RUNNING,
QH2-O-P11E07,RUNNING,
QH2-O-P11E08,RUNNING,
QH2-O-P11E09,RUNNING,
QH2-O-P11E10,RUNNING,
QH2-O-P11E11,RUNNING,
QH2-O-P11E12,RUNNING,
QH2-O-P11E13,RUNNING,
QH2-O-P11E14,RUNNING,
QH2-O-P11E15,RUNNING,
QH2-O-P12E01,RUNNING,
QH2-O-P12E02,RUNNING,
QH2-O-P12E03,RUNNING,
QH2-O-P12E04,RUNNING,
QH2-O-P12E05,RUNNING,
QH2-O-P12E06,RUNNING,